satellite,UT Date,UT time,Sat(lon) [deg],Sat(lat) [deg],Sat(alt) [km],Sat(Azimuth) [deg],Sat(Elevation),[deg] SatRA[hr],SatDEC[deg],SunRA[hr],SunDEC[deg],SunZenithAngle[deg],SatAngularSpeed [arcsecs/sec]
ONEWEB-0216,2021-05-07,23:09:30,-98.142165,-77.448900,45773.65,187.529,34.397,06h15m15.618s,-81:48:5.015,3.0097415,17.0826306,104.629,4209.510
ONEWEB-0216,2021-05-07,23:16:30,-109.318022,-33.515020,45672.43,252.578,52.711,06h42m7.020s,-33:08:26.378,3.0100564,17.0839500,106.127,3794.796
ONEWEB-0216,2021-05-07,23:17:30,-99.116132,-78.480223,45746.03,187.041,33.339,06h04m30.818s,-82:44:24.450,3.0101014,17.0841385,106.342,4100.400
ONEWEB-0216,2021-05-07,23:24:30,-111.263920,-34.510537,45644.59,250.641,50.982,06h41m17.490s,-34:09:13.458,3.0104163,17.0854578,107.844,3738.136
ONEWEB-0216,2021-05-07,23:25:30,-99.977379,-79.440805,45717.99,186.555,32.373,05h51m34.157s,-83:34:51.297,3.0104613,17.0856462,108.059,4004.000
ONEWEB-0216,2021-05-07,23:32:30,-113.212729,-35.437510,45616.50,248.917,49.264,06h40m28.304s,-35:04:56.938,3.0107761,17.0869653,109.565,3678.293
ONEWEB-0216,2021-05-07,23:33:30,-100.715981,-80.330687,45689.65,186.076,31.496,05h36m4.983s,-84:19:14.748,3.0108211,17.0871538,109.781,3918.281
ONEWEB-0216,2021-05-07,23:40:30,-115.164639,-36.296376,45588.20,247.379,47.560,06h39m39.732s,-35:55:40.346,3.0111360,17.0884728,111.291,3616.750
ONEWEB-0216,2021-05-07,23:41:30,-101.323705,-81.149880,45661.21,185.611,30.705,05h17m47.903s,-84:57:22.660,3.0111810,17.0886612,111.507,3841.564
ONEWEB-0216,2021-05-07,23:48:30,-117.119849,-37.087508,45559.77,246.003,45.872,06h38m52.054s,-36:41:27.144,3.0114959,17.0899801,113.021,3554.678
ONEWEB-0249,2021-05-07,22:37:30,-121.864204,-62.640187,251786.69,209.447,42.238,05h25m4.828s,-63:01:11.974,3.0083022,17.0765977,097.838,6121.564
ONEWEB-0249,2021-05-07,22:41:30,-125.233700,-44.164105,251547.04,235.310,43.715,05h18m6.190s,-44:10:32.592,3.0084821,17.0773520,098.682,5735.883
ONEWEB-0249,2021-05-07,22:45:30,-127.446667,-25.603617,251322.23,259.836,38.908,05h14m6.020s,-25:16:38.262,3.0086620,17.0781062,099.526,5419.693
ONEWEB-0249,2021-05-07,22:54:30,-122.503827,-73.608233,251630.92,196.435,37.276,05h34m22.809s,-74:08:37.549,3.0090668,17.0798030,101.434,6083.646
ONEWEB-0249,2021-05-07,22:58:30,-128.369461,-55.056791,251391.24,220.560,40.845,05h21m3.515s,-55:12:30.434,3.0092467,17.0805571,102.284,5784.523
ONEWEB-0249,2021-05-07,23:02:30,-131.081015,-36.376705,251152.81,245.237,38.481,05h15m56.854s,-36:11:9.416,3.0094267,17.0813111,103.135,5475.578
ONEWEB-0249,2021-05-07,23:06:30,-133.114227,-17.622590,250935.96,266.730,31.017,05h12m23.097s,-17:08:15.952,3.0096066,17.0820651,103.988,5294.150
ONEWEB-0249,2021-05-07,23:11:30,-112.266009,-83.709692,251457.62,185.020,32.677,06h14m42.628s,-84:30:29.118,3.0098315,17.0830076,105.057,6006.515
ONEWEB-0249,2021-05-07,23:15:30,-130.804733,-65.305188,251222.46,207.664,37.621,05h25m34.156s,-65:34:32.422,3.0100114,17.0837615,105.913,5786.535
ONEWEB-0249,2021-05-07,23:19:30,-134.566894,-46.516322,250976.32,231.877,37.133,05h18m2.440s,-46:26:14.215,3.0101914,17.0845154,106.771,5509.287
ONEWEB-0249,2021-05-07,23:23:30,-136.875292,-27.634274,250741.07,254.181,31.419,05h13m57.534s,-27:15:10.192,3.0103713,17.0852693,107.629,5311.892
ONEWEB-0249,2021-05-07,23:32:30,-131.289033,-74.884932,251039.03,196.241,34.536,05h34m36.727s,-75:16:26.840,3.0107761,17.0869653,109.565,5759.086
ONEWEB-0249,2021-05-07,23:36:30,-137.777580,-56.021726,250791.80,219.835,35.382,05h20m40.215s,-56:01:56.720,3.0109561,17.0877191,110.428,5520.164
ONEWEB-0249,2021-05-07,23:40:30,-140.575942,-37.016012,250545.97,242.466,31.073,05h15m34.492s,-36:43:2.518,3.0111360,17.0884728,111.291,5323.473
ONEWEB-0249,2021-05-07,23:49:30,-122.124303,-83.625741,250846.55,185.945,31.895,06h08m33.975s,-84:14:50.191,3.0115409,17.0901685,113.237,5718.162
ONEWEB-0250,2021-05-07,22:36:30,-125.524996,-19.243826,235618.23,268.399,38.304,05h12m43.686s,-18:48:5.620,3.0082572,17.0764091,097.628,5215.735
ONEWEB-0250,2021-05-07,22:41:30,-119.318948,-73.439676,235819.37,196.029,38.078,05h33m53.943s,-74:03:49.363,3.0084821,17.0773520,098.682,6064.646
ONEWEB-0250,2021-05-07,22:45:30,-126.154854,-45.268607,235662.45,233.771,42.972,05h17m52.424s,-45:17:12.962,3.0086620,17.0781062,099.526,5563.845
ONEWEB-0250,2021-05-07,22:49:30,-128.897687,-16.938416,235405.25,269.463,34.384,05h12m7.388s,-16:26:14.921,3.0088419,17.0788603,100.373,5160.561
ONEWEB-0250,2021-05-07,22:54:30,-123.711791,-71.028369,235624.42,199.591,38.078,05h30m15.245s,-71:32:12.178,3.0090668,17.0798030,101.434,5896.875
ONEWEB-0250,2021-05-07,22:58:30,-129.629338,-42.727767,235453.31,237.127,40.349,05h16m59.852s,-42:39:5.187,3.0092467,17.0805571,102.284,5425.176
ONEWEB-0250,2021-05-07,23:02:30,-132.283804,-14.282504,235186.06,270.694,30.246,05h11m28.670s,-13:43:22.991,3.0094267,17.0813111,103.135,5118.621
ONEWEB-0250,2021-05-07,23:07:30,-127.968859,-68.265220,235424.98,203.611,37.766,05h27m11.544s,-68:39:4.784,3.0096516,17.0822536,104.202,5735.392
ONEWEB-0250,2021-05-07,23:11:30,-133.112860,-39.836429,235239.38,240.503,37.378,05h16m7.309s,-39:39:45.083,3.0098315,17.0830076,105.057,5307.637
ONEWEB-0250,2021-05-07,23:20:30,-132.097575,-65.148486,235221.60,208.020,37.047,05h24m37.228s,-65:24:25.694,3.0102363,17.0847039,106.985,5582.522
ONEWEB-0250,2021-05-07,23:24:30,-136.602116,-36.593319,235023.40,243.856,34.031,05h15m14.952s,-36:19:15.419,3.0104163,17.0854578,107.844,5211.801
ONEWEB-0250,2021-05-07,23:29:30,-39.060746,-87.492681,235106.19,178.458,30.071,13h38m32.563s,-88:20:18.360,3.0106412,17.0864000,108.919,5734.086
ONEWEB-0250,2021-05-07,23:33:30,-136.111940,-61.677760,235016.34,212.718,35.831,05h22m26.747s,-61:48:18.890,3.0108211,17.0871538,109.781,5441.637
ONEWEB-0250,2021-05-07,23:37:30,-140.094669,-32.998689,234807.63,247.153,30.293,05h14m22.715s,-32:37:45.488,3.0110011,17.0879075,110.644,5138.114
ONEWEB-0250,2021-05-07,23:42:30,-105.952556,-85.909413,234914.71,182.799,31.273,06h51m52.240s,-86:50:26.256,3.0112260,17.0888496,111.723,5622.145
ONEWEB-0250,2021-05-07,23:46:30,-140.027986,-57.854287,234810.97,217.582,34.046,05h20m35.152s,-57:50:55.437,3.0114059,17.0896033,112.588,5316.680
ONEWEB-0252,2021-05-07,22:34:30,-111.944164,-80.395019,185902.24,187.837,34.691,05h42m18.922s,-81:26:23.651,3.0081672,17.0760320,097.207,5789.792
ONEWEB-0252,2021-05-07,22:38:30,-126.253083,-25.183671,185631.22,260.795,39.439,05h10m20.234s,-24:44:29.251,3.0083471,17.0767863,098.049,4873.552
ONEWEB-0252,2021-05-07,22:43:30,-126.166884,-45.693850,185660.85,233.180,42.662,05h14m5.207s,-45:43:11.825,3.0085720,17.0777291,099.104,5194.228
ONEWEB-0252,2021-05-07,22:48:30,-124.434398,-66.101545,185684.94,205.637,39.530,05h20m47.444s,-66:37:7.654,3.0087969,17.0786718,100.161,5502.701
ONEWEB-0252,2021-05-07,22:53:30,-95.603764,-85.848231,185690.32,182.081,31.381,06h43m5.444s,-87:12:51.275,3.0090218,17.0796145,101.221,5607.503
ONEWEB-0252,2021-05-07,22:57:30,-130.707569,-30.968148,185428.22,252.138,37.220,05h10m57.089s,-30:35:42.435,3.0092018,17.0803686,102.071,4864.948
ONEWEB-0252,2021-05-07,23:02:30,-130.395332,-51.287712,185457.14,225.723,39.596,05h14m55.901s,-51:21:25.056,3.0094267,17.0813111,103.135,5135.151
ONEWEB-0252,2021-05-07,23:07:30,-127.428832,-71.484250,185476.40,199.683,36.458,05h23m32.899s,-72:01:58.674,3.0096516,17.0822536,104.202,5377.830
ONEWEB-0252,2021-05-07,23:16:30,-135.166052,-36.066679,185225.47,244.800,34.732,05h11m29.873s,-35:43:48.245,3.0100564,17.0839500,106.127,4836.963
ONEWEB-0252,2021-05-07,23:21:30,-134.568453,-56.195295,185251.91,219.537,36.795,05h15m47.135s,-56:16:32.747,3.0102813,17.0848924,107.200,5061.405
ONEWEB-0252,2021-05-07,23:26:30,-129.569431,-76.164997,185265.62,194.582,34.045,05h27m32.079s,-76:43:56.020,3.0105062,17.0858347,108.274,5260.642
ONEWEB-0252,2021-05-07,23:35:30,-139.631728,-40.482281,185020.76,238.635,32.172,05h11m59.088s,-40:09:5.896,3.0109111,17.0875306,110.212,4797.512
ONEWEB-0252,2021-05-07,23:40:30,-138.686937,-60.419984,185044.31,214.405,34.342,05h16m39.325s,-60:29:1.168,3.0111360,17.0884728,111.291,4983.989
ONEWEB-0252,2021-05-07,23:45:30,-130.164399,-80.132018,185053.17,190.240,32.269,05h33m52.859s,-80:43:20.730,3.0113609,17.0894149,112.372,5156.270
ONEWEB-0253,2021-05-07,22:34:30,-125.420039,-13.665574,219352.32,274.925,35.951,05h10m54.051s,-13:05:32.184,3.0081672,17.0760320,097.207,5037.323
ONEWEB-0253,2021-05-07,22:39:30,-123.462708,-57.163561,219548.16,217.007,43.011,05h20m37.595s,-57:27:36.376,3.0083921,17.0769748,098.260,5722.389
ONEWEB-0253,2021-05-07,22:43:30,-127.371861,-20.209372,219276.90,266.407,36.950,05h11m53.105s,-19:44:15.035,3.0085720,17.0777291,099.104,5072.573
ONEWEB-0253,2021-05-07,22:48:30,-124.579668,-63.582902,219448.79,208.817,40.580,05h23m18.023s,-63:58:48.590,3.0087969,17.0786718,100.161,5734.153
ONEWEB-0253,2021-05-07,22:52:30,-129.305499,-26.587070,219197.44,257.971,37.431,05h12m51.751s,-26:12:39.467,3.0089769,17.0794259,101.009,5108.700
ONEWEB-0253,2021-05-07,22:57:30,-125.088381,-69.825561,219343.39,201.253,38.076,05h27m17.752s,-70:19:15.483,3.0092018,17.0803686,102.071,5725.915
ONEWEB-0253,2021-05-07,23:01:30,-131.210642,-32.798741,219113.46,249.728,37.473,05h13m51.577s,-32:30:42.291,3.0093817,17.0811226,102.922,5142.542
ONEWEB-0253,2021-05-07,23:06:30,-124.238055,-75.875520,219232.08,194.205,35.592,05h34m21.886s,-76:28:42.793,3.0096066,17.0820651,103.988,5702.752
ONEWEB-0253,2021-05-07,23:10:30,-133.074124,-38.844235,219024.95,241.762,37.163,05h14m54.392s,-38:38:21.051,3.0097865,17.0828191,104.843,5171.699
ONEWEB-0253,2021-05-07,23:15:30,-119.274763,-81.672188,219115.06,187.575,33.200,05h51m34.356s,-82:26:3.699,3.0100114,17.0837615,105.913,5669.401
ONEWEB-0253,2021-05-07,23:19:30,-134.877951,-44.723165,218932.14,234.123,36.590,05h16m2.477s,-44:35:33.968,3.0101914,17.0845154,106.771,5194.754
ONEWEB-0253,2021-05-07,23:24:30,-90.058429,-86.723776,218992.57,181.283,30.950,07h43m30.410s,-87:56:40.339,3.0104163,17.0854578,107.844,5629.970
ONEWEB-0253,2021-05-07,23:28:30,-136.595966,-50.434943,218835.34,226.832,35.838,05h17m18.991s,-50:22:20.109,3.0105962,17.0862116,108.704,5211.259
ONEWEB-0253,2021-05-07,23:37:30,-138.187756,-55.978775,218734.77,219.891,34.982,05h18m48.680s,-55:58:39.596,3.0110011,17.0879075,110.644,5221.553
ONEWEB-0253,2021-05-07,23:46:30,-139.586529,-61.353495,218630.54,213.285,34.087,05h20m39.298s,-61:24:33.560,3.0114059,17.0896033,112.588,5226.515
ONEWEB-0254,2021-05-07,22:35:30,-124.078127,-41.312522,192636.38,239.371,44.229,05h15m22.844s,-41:16:23.533,3.0082122,17.0762206,097.418,5213.708
ONEWEB-0254,2021-05-07,22:40:30,-122.382646,-64.219782,192669.24,207.557,41.108,05h22m39.871s,-64:43:32.787,3.0084371,17.0771634,098.471,5611.300
ONEWEB-0254,2021-05-07,22:44:30,-128.044074,-10.661189,192405.02,276.751,32.044,05h09m37.784s,-09:56:14.732,3.0086170,17.0779176,099.315,4744.540
ONEWEB-0254,2021-05-07,22:45:30,-87.054629,-86.291241,192684.17,181.240,31.239,07h23m24.123s,-87:43:36.096,3.0086620,17.0781062,099.526,5730.888
ONEWEB-0254,2021-05-07,22:49:30,-128.125225,-33.552530,192431.82,249.483,40.035,05h13m31.266s,-33:16:51.599,3.0088419,17.0788603,100.373,4977.139
ONEWEB-0254,2021-05-07,22:54:30,-127.304036,-56.353454,192465.80,218.707,40.919,05h18m51.068s,-56:35:25.050,3.0090668,17.0798030,101.434,5332.264
ONEWEB-0254,2021-05-07,22:59:30,-119.536306,-78.933226,192488.50,190.306,34.639,05h38m47.662s,-79:45:35.360,3.0092917,17.0807456,102.496,5567.845
ONEWEB-0254,2021-05-07,23:03:30,-132.103851,-25.414680,192224.41,258.386,34.445,05h11m48.997s,-24:55:46.744,3.0094717,17.0814996,103.348,4814.023
ONEWEB-0254,2021-05-07,23:08:30,-131.777839,-48.101552,192257.68,229.942,38.790,05h16m9.947s,-48:04:32.359,3.0096966,17.0824421,104.416,5080.018
ONEWEB-0254,2021-05-07,23:13:30,-128.730563,-70.658552,192286.73,200.853,36.416,05h25m29.906s,-71:08:37.788,3.0099215,17.0833846,105.485,5357.745
ONEWEB-0254,2021-05-07,23:22:30,-136.011869,-39.466599,192045.93,240.500,34.805,05h14m2.211s,-39:11:32.817,3.0103263,17.0850808,107.414,4882.295
ONEWEB-0254,2021-05-07,23:27:30,-134.662085,-61.935597,192078.99,212.290,36.220,05h19m58.592s,-62:07:15.473,3.0105512,17.0860231,108.489,5133.097
ONEWEB-0254,2021-05-07,23:32:30,-116.483366,-83.964867,192096.94,185.175,31.802,06h01m4.747s,-84:52:40.955,3.0107761,17.0869653,109.565,5320.688
ONEWEB-0254,2021-05-07,23:41:30,-139.557090,-52.811414,191867.60,223.775,33.905,05h16m41.451s,-52:42:58.157,3.0111810,17.0886612,111.507,4930.877
ONEWEB-0254,2021-05-07,23:46:30,-134.800897,-75.011820,191893.10,196.456,33.260,05h28m23.812s,-75:24:39.287,3.0114059,17.0896033,112.588,5143.089
ONEWEB-0255,2021-05-07,22:37:30,-126.158786,-20.579216,206876.90,266.506,38.088,05h10m29.183s,-20:05:43.854,3.0083022,17.0765977,097.838,5033.096
ONEWEB-0255,2021-05-07,22:42:30,-124.425404,-58.209790,207133.13,215.781,42.165,05h18m54.805s,-58:31:32.900,3.0085271,17.0775405,098.893,5641.976
ONEWEB-0255,2021-05-07,22:46:30,-128.614024,-16.384798,206726.00,270.221,34.232,05h09m37.644s,-15:48:22.861,3.0087070,17.0782947,099.738,4967.488
ONEWEB-0255,2021-05-07,22:51:30,-127.263552,-53.946763,206980.22,221.927,41.423,05h17m12.147s,-54:07:24.477,3.0089319,17.0792374,100.797,5477.420
ONEWEB-0255,2021-05-07,22:55:30,-131.068098,-12.028329,206577.36,273.682,30.124,05h08m45.330s,-11:21:47.117,3.0091118,17.0799915,101.646,4921.172
ONEWEB-0255,2021-05-07,23:00:30,-130.010294,-49.519610,206827.29,228.058,40.068,05h15m44.607s,-49:33:28.528,3.0093367,17.0809341,102.709,5326.446
ONEWEB-0255,2021-05-07,23:05:30,-95.753635,-86.118415,207036.74,181.952,31.295,06h57m49.654s,-87:20:40.098,3.0095616,17.0818766,103.775,5709.283
ONEWEB-0255,2021-05-07,23:09:30,-132.689478,-44.929255,206673.54,234.033,38.107,05h14m27.721s,-44:49:54.298,3.0097415,17.0826306,104.629,5193.932
ONEWEB-0255,2021-05-07,23:14:30,-119.117392,-81.914536,206893.32,187.325,32.988,05h48m6.724s,-82:43:17.686,3.0099664,17.0835731,105.699,5609.259
ONEWEB-0255,2021-05-07,23:18:30,-135.317984,-40.176231,206517.77,239.744,35.568,05h13m18.334s,-39:56:50.477,3.0101464,17.0843270,106.556,5082.922
ONEWEB-0255,2021-05-07,23:23:30,-127.918627,-77.217342,206746.61,193.211,34.115,05h32m24.349s,-77:47:9.894,3.0103713,17.0852693,107.629,5496.509
ONEWEB-0255,2021-05-07,23:27:30,-137.908212,-35.260582,206358.86,245.131,32.497,05h12m14.096s,-34:54:24.589,3.0105512,17.0860231,108.489,4994.680
ONEWEB-0255,2021-05-07,23:32:30,-133.296579,-72.286033,206595.40,199.503,34.591,05h25m23.911s,-72:39:46.091,3.0107761,17.0869653,109.565,5376.754
ONEWEB-0255,2021-05-07,23:41:30,-137.390364,-67.166402,206438.87,206.052,34.352,05h21m19.576s,-67:22:6.178,3.0111810,17.0886612,111.507,5256.824
ONEWEB-0255,2021-05-07,23:50:30,-140.870423,-61.871793,206277.05,212.686,33.364,05h18m34.928s,-61:54:30.255,3.0115858,17.0903569,113.453,5143.810
ONEWEB-0256,2021-05-07,22:34:30,-124.964092,-27.462470,257420.74,258.316,41.639,05h13m11.449s,-27:11:42.173,3.0081672,17.0760320,097.207,5531.803
ONEWEB-0256,2021-05-07,22:38:30,-126.668661,-12.969032,257286.19,275.020,34.724,05h10m33.725s,-12:27:59.437,3.0083471,17.0767863,098.049,5370.639
ONEWEB-0256,2021-05-07,22:43:30,-103.733364,-84.237809,257528.53,183.784,32.872,06h24m40.052s,-85:08:54.772,3.0085720,17.0777291,099.104,6310.243
ONEWEB-0256,2021-05-07,22:47:30,-122.793934,-70.071643,257412.76,200.533,38.882,05h28m43.858s,-70:32:37.987,3.0087520,17.0784832,099.950,6147.448
ONEWEB-0256,2021-05-07,22:51:30,-126.959571,-55.541367,257283.76,219.746,41.601,05h19m53.030s,-55:43:13.871,3.0089319,17.0792374,100.797,5888.229
ONEWEB-0256,2021-05-07,22:55:30,-129.393471,-40.931260,257146.65,239.538,40.471,05h15m36.334s,-40:50:17.647,3.0091118,17.0799915,101.646,5617.832
ONEWEB-0256,2021-05-07,22:59:30,-131.302244,-26.266206,257007.38,257.667,35.791,05h12m36.184s,-25:55:34.776,3.0092917,17.0807456,102.496,5420.004
ONEWEB-0256,2021-05-07,23:08:30,-115.569973,-82.675214,257118.82,186.248,33.143,06h02m28.016s,-83:24:14.680,3.0096966,17.0824421,104.416,6062.110
ONEWEB-0256,2021-05-07,23:12:30,-129.702616,-68.181651,256999.40,203.973,37.273,05h26m8.905s,-68:30:29.194,3.0098765,17.0831961,105.271,5883.114
ONEWEB-0256,2021-05-07,23:16:30,-133.499893,-53.424038,256868.08,223.044,37.981,05h18m37.941s,-53:28:5.839,3.0100564,17.0839500,106.127,5655.755
ONEWEB-0256,2021-05-07,23:20:30,-135.835502,-38.592050,256730.40,241.598,35.155,05h14m43.121s,-38:22:57.832,3.0102363,17.0847039,106.985,5456.115
ONEWEB-0256,2021-05-07,23:33:30,-127.519503,-79.750907,256702.91,190.404,33.306,05h44m24.420s,-80:15:4.250,3.0108211,17.0871538,109.781,5835.052
ONEWEB-0256,2021-05-07,23:37:30,-136.852186,-64.934344,256581.94,208.741,35.184,05h23m15.337s,-65:05:11.316,3.0110011,17.0879075,110.644,5652.651
ONEWEB-0256,2021-05-07,23:41:30,-140.157883,-49.947070,256450.18,227.232,33.687,05h17m11.170s,-49:50:7.055,3.0111810,17.0886612,111.507,5469.295
ONEWEB-0257,2021-05-07,22:34:30,-118.442326,-71.418496,241623.62,198.079,39.426,05h32m19.235s,-72:00:49.854,3.0081672,17.0760320,097.207,6176.930
ONEWEB-0257,2021-05-07,22:38:30,-124.197344,-46.578521,241493.79,231.862,44.338,05h18m51.455s,-46:38:51.715,3.0083471,17.0767863,098.049,5699.624
ONEWEB-0257,2021-05-07,22:42:30,-126.831520,-21.615372,241303.77,264.964,38.064,05h13m30.224s,-21:12:49.455,3.0085271,17.0775405,098.893,5271.798
ONEWEB-0257,2021-05-07,22:47:30,-115.188537,-79.820893,241429.76,188.828,35.025,05h49m43.168s,-80:34:52.039,3.0087520,17.0784832,099.950,6105.676
ONEWEB-0257,2021-05-07,22:51:30,-126.542716,-54.997758,241327.15,220.423,41.863,05h21m12.341s,-55:10:58.458,3.0089319,17.0792374,100.797,5738.536
ONEWEB-0257,2021-05-07,22:55:30,-129.650617,-29.944972,241156.88,253.709,38.200,05h14m50.244s,-29:39:19.678,3.0091118,17.0799915,101.646,5315.708
ONEWEB-0257,2021-05-07,23:00:30,-76.748689,-87.011923,241227.85,180.370,30.961,08h49m21.734s,-88:12:37.233,3.0093367,17.0809341,102.709,6015.216
ONEWEB-0257,2021-05-07,23:04:30,-128.471984,-63.053171,241153.23,210.162,39.146,05h24m27.588s,-63:20:26.486,3.0095166,17.0816881,103.562,5744.820
ONEWEB-0257,2021-05-07,23:08:30,-132.412689,-37.917510,241004.41,243.041,37.644,05h16m14.244s,-37:43:34.755,3.0096966,17.0824421,104.416,5350.311
ONEWEB-0257,2021-05-07,23:17:30,-129.516561,-70.736156,240972.21,200.873,36.438,05h29m42.527s,-71:07:14.088,3.0101014,17.0841385,106.342,5727.639
ONEWEB-0257,2021-05-07,23:21:30,-135.083420,-45.533503,240845.04,233.083,36.640,05h17m47.089s,-45:25:35.414,3.0102813,17.0848924,107.200,5372.436
ONEWEB-0257,2021-05-07,23:30:30,-128.154065,-78.014601,240783.99,192.358,33.915,05h40m38.209s,-78:30:53.289,3.0106862,17.0865885,109.135,5696.262
ONEWEB-0257,2021-05-07,23:34:30,-137.609414,-52.792538,240677.75,223.858,35.405,05h19m35.867s,-52:45:23.547,3.0108661,17.0873422,109.997,5382.274
ONEWEB-0257,2021-05-07,23:43:30,-115.527801,-84.688685,240588.37,184.458,31.691,06h22m28.393s,-85:27:5.890,3.0112710,17.0890380,111.939,5658.451
ONEWEB-0257,2021-05-07,23:47:30,-139.898892,-59.692727,240502.27,215.328,34.118,05h21m52.398s,-59:43:0.500,3.0114509,17.0897917,112.804,5382.121
ONEWEB-0258,2021-05-07,22:34:30,-114.154049,-77.883301,223606.20,190.501,36.370,05h43m0.689s,-78:41:47.177,3.0081672,17.0760320,097.207,6093.205
ONEWEB-0258,2021-05-07,22:38:30,-124.494052,-42.701819,223381.43,237.382,44.127,05h17m31.910s,-42:41:35.113,3.0083471,17.0767863,098.049,5478.359
ONEWEB-0258,2021-05-07,22:42:30,-127.470203,-7.255815,223067.45,280.627,31.073,05h10m43.396s,-06:34:54.237,3.0085271,17.0775405,098.893,5011.663
ONEWEB-0258,2021-05-07,22:43:30,-74.018193,-86.940181,223499.80,180.208,30.946,08h50m54.348s,-88:14:41.343,3.0085720,17.0777291,099.104,6025.164
ONEWEB-0258,2021-05-07,22:47:30,-125.786883,-52.689143,223313.45,223.468,42.584,05h20m4.679s,-52:51:20.238,3.0087520,17.0784832,099.950,5592.665
ONEWEB-0258,2021-05-07,22:51:30,-129.277293,-17.203200,223012.47,268.983,34.089,05h12m19.448s,-16:40:32.202,3.0089319,17.0792374,100.797,5053.572
ONEWEB-0258,2021-05-07,22:56:30,-126.534091,-62.495501,223235.77,210.560,40.076,05h23m48.240s,-62:49:48.365,3.0091568,17.0801800,101.858,5670.673
ONEWEB-0258,2021-05-07,23:00:30,-131.041809,-26.978875,222956.32,256.905,36.068,05h13m55.028s,-26:35:54.531,3.0093367,17.0809341,102.709,5112.541
ONEWEB-0258,2021-05-07,23:05:30,-125.860906,-72.102711,223147.09,198.715,36.922,05h30m44.647s,-72:36:34.825,3.0095616,17.0818766,103.775,5708.709
ONEWEB-0258,2021-05-07,23:09:30,-132.722734,-36.582183,222896.95,244.665,37.060,05h15m36.591s,-36:20:46.797,3.0097415,17.0826306,104.629,5180.407
ONEWEB-0258,2021-05-07,23:14:30,-119.176177,-81.410689,223046.42,187.816,33.396,05h52m36.299s,-82:09:39.943,3.0099664,17.0835731,105.699,5710.705
ONEWEB-0258,2021-05-07,23:18:30,-134.252970,-46.012241,222832.17,232.539,37.173,05h17m33.317s,-45:54:58.497,3.0101464,17.0843270,106.556,5248.438
ONEWEB-0258,2021-05-07,23:27:30,-135.503086,-55.267188,222759.91,220.746,36.560,05h20m1.774s,-55:18:22.535,3.0105512,17.0860231,108.489,5309.112
ONEWEB-0258,2021-05-07,23:36:30,-136.172865,-64.341743,222678.58,209.419,35.391,05h23m39.676s,-64:30:52.565,3.0109561,17.0877191,110.428,5357.585
ONEWEB-0258,2021-05-07,23:45:30,-135.351803,-73.217441,222587.16,198.610,33.834,05h30m22.980s,-73:32:12.898,3.0113609,17.0894149,112.372,5392.041
ONEWEB-0259,2021-05-07,22:34:30,-124.713782,-32.348660,229555.83,251.848,42.882,05h13m27.875s,-32:08:26.277,3.0081672,17.0760320,097.207,5374.487
ONEWEB-0259,2021-05-07,22:39:30,-104.345145,-83.844071,229697.84,184.122,33.021,06h15m39.357s,-84:50:56.297,3.0083921,17.0769748,098.260,6123.636
ONEWEB-0259,2021-05-07,22:43:30,-125.181118,-53.866790,229521.95,221.777,42.795,05h18m33.795s,-54:03:45.331,3.0085720,17.0777291,099.104,5710.990
ONEWEB-0259,2021-05-07,22:47:30,-128.462348,-23.440626,229325.13,262.097,37.208,05h11m36.625s,-23:02:11.364,3.0087520,17.0784832,099.950,5193.173
ONEWEB-0259,2021-05-07,22:52:30,-121.588426,-75.112325,229478.31,194.622,36.621,05h33m19.556s,-75:44:3.064,3.0089769,17.0794259,101.009,5929.115
ONEWEB-0259,2021-05-07,22:56:30,-129.366208,-44.733512,229289.98,234.461,40.622,05h15m42.155s,-44:41:42.925,3.0091568,17.0801800,101.858,5439.868
ONEWEB-0259,2021-05-07,23:00:30,-132.165097,-14.177132,229095.95,270.865,30.270,05h09m49.627s,-13:36:9.338,3.0093367,17.0809341,102.709,5090.038
ONEWEB-0259,2021-05-07,23:05:30,-128.616036,-65.804641,229251.88,206.732,38.266,05h23m19.833s,-66:08:55.852,3.0095616,17.0818766,103.775,5690.858
ONEWEB-0259,2021-05-07,23:09:30,-133.320444,-35.240568,229056.80,246.209,36.339,05h13m26.266s,-34:58:57.380,3.0097415,17.0826306,104.629,5233.857
ONEWEB-0259,2021-05-07,23:14:30,-98.506662,-86.039054,229194.99,182.194,31.418,06h59m48.558s,-87:06:51.017,3.0099664,17.0835731,105.699,5804.975
ONEWEB-0259,2021-05-07,23:18:30,-133.676937,-56.100853,229021.24,219.614,37.595,05h18m30.824s,-56:11:17.905,3.0101464,17.0843270,106.556,5448.624
ONEWEB-0259,2021-05-07,23:22:30,-137.147018,-25.390478,228825.48,256.586,30.318,05h11m27.373s,-24:56:13.603,3.0103263,17.0850808,107.414,5103.540
ONEWEB-0259,2021-05-07,23:27:30,-129.237787,-76.674029,228973.23,193.970,34.208,05h34m7.417s,-77:09:38.923,3.0105512,17.0860231,108.489,5625.889
ONEWEB-0259,2021-05-07,23:31:30,-138.039205,-46.028429,228788.84,232.196,34.549,05h15m24.938s,-45:52:31.903,3.0107312,17.0867769,109.350,5244.827
ONEWEB-0259,2021-05-07,23:40:30,-137.233759,-66.445444,228746.81,206.918,34.665,05h22m44.106s,-66:37:31.578,3.0111360,17.0884728,111.291,5420.518
